,Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s),transfer_all,transfer_continuous,transfer_roundtrip,matrix_conv,matrix_convloop,matrix_dot,matrix_dotloop,matrix_add,matrix_addloop
169,frame3000_6,3000,360,640,230400,941.1938095092772,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,48.782331705093384,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
231,frame2000_7,2000,360,640,230400,521.232232093811,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,148.77048420906067,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
65,frame3000_13,3000,540,960,518400,4433.069942474365,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,40.580790281295776,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
1,frame0500_1,500,720,1280,921600,599.6991939544678,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,6.662433624267578,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
120,frame1500_9,1500,360,640,230400,617.8049640655518,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,23.42139196395874,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
269,frame3000_9,3000,720,1280,921600,2228.889018058777,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,224.9785418510437,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
186,frame4000_2,4000,360,640,230400,1417.003812789917,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,62.86492919921875,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
42,frame2500_10,2500,360,640,230400,649.2635126113892,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,32.88303470611572,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
105,frame1000_4,1000,338,640,216320,218.37547492980957,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,16.078360557556152,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
132,frame2000_5,2000,360,640,230400,520.5027675628662,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,32.08161449432373,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
79,frame3500_2,3500,720,1280,921600,5789.719665527344,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,46.95156884193421,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
17,frame1500_3,1500,360,640,230400,537.905837059021,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,19.54608178138733,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
263,frame3000_3,3000,360,640,230400,1039.3170471191406,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,222.1540961265564,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
232,frame2000_8,2000,360,640,230400,532.4802484512329,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,149.14206671714783,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
38,frame2000_8,2000,360,640,230400,532.4802484512329,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.21977663040161,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
