Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s),cpu_core,cpu_boost_clock(GHz),cpu_thread,cpu_cache(MB),gpu_architecture,gpu_core,gpu_boost_clock(GHz),VRAM(GB)
frame0500_0,500,360,640,230400,127.94269561767578,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,7.212906360626221,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame0500_1,500,720,1280,921600,599.6991939544678,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,6.662433624267578,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame0500_2,500,360,640,230400,118.56429481506348,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,6.543500185012817,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame0500_3,500,2160,3840,8294400,2999.1242027282715,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,7.501305103302002,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1000_0,1000,360,640,230400,309.0996513366699,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,13.20438838005066,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1000_1,1000,360,640,230400,404.8405485153198,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,13.036388397216797,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1000_2,1000,540,960,518400,613.689887046814,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,13.356950044631958,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1000_3,1000,360,640,230400,470.62690448760986,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,13.27068543434143,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1000_4,1000,338,640,216320,218.37547492980957,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,12.56711220741272,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1000_5,1000,720,1280,921600,1131.3090629577637,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,13.373311042785645,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1500_0,1500,360,640,230400,426.1728382110596,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,19.553643226623535,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1500_1,1500,360,640,230400,537.2491159439087,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,19.677708864212036,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1500_10,1500,720,1280,921600,1689.7155990600586,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,20.039737939834595,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1500_11,1500,720,1280,921600,1637.241135597229,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,19.896158456802368,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame1500_12,1500,360,640,230400,544.9795846939087,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,19.75958824157715,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
