,transfer_all,transfer_continuous,transfer_roundtrip,matrix_conv,matrix_convloop,matrix_dot,matrix_dotloop,matrix_add,matrix_addloop
1th Xeon Gold - GTX1080,0.39282,0.17521,0.24391,0.56004,2.29248,7.49736,0.97532,0.00998,0.9895
9th corei7 - RTX2080 Ti,0.32111,0.25523,0.30759,0.50384,1.1212,5.47377,0.60923,0.00438,0.43212
13th corei5 - GTX1080,0.22363,0.13802,0.18245,0.56396,2.36742,7.47047,0.97811,0.00994,0.98987
13th corei5 - RTX3050,0.22359,0.13752,0.18115,1.32907,3.10884,16.50043,1.79453,0.01566,1.5593
13th corei7 - RTX4070,0.18259,0.11185,0.1429,0.36004,0.80333,4.424,0.48996,0.00516,0.51386
13th corei7 - RTX3060 Ti,0.18361,0.11256,0.14381,0.62175,1.36526,7.77804,0.83017,0.00578,0.5733
13th corei5 - RTX4070,0.19787,0.11958,0.15332,0.36207,0.80885,4.44514,0.4952,0.00517,0.51385
1th Xeon Gold - RTX4070,0.39629,0.17592,0.24017,0.40328,0.84915,4.49111,0.49006,0.00522,0.51435
13th corei5 - RTX3060 Ti,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
13th corei5 - GTX1650,0.22539,0.13858,0.18422,1.76343,3.95939,19.24658,2.17332,0.01432,1.42609
13th corei7 - RTX3050,0.21162,0.13608,0.17636,1.32342,3.03578,16.45529,1.77132,0.01565,1.55983
13th corei7 - GTX1080,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
