,ML,loss,Parameter Num,Const Parameter,Variable Parameter Num,Variable Parameter,Leave One,MAPE train (%),MAPE val (%),MAPE test (%)
0,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],13th corei5 - RTX3060 Ti,58.14177,60.03292,107.61748
1,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],13th corei7 - GTX1080,61.54005,65.06134,27.48661
2,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],13th corei5 - GTX1650,55.99794,57.27417,45.33579
3,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],1th Xeon Gold - RTX4070,59.74246,61.1983,117.9878
4,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],13th corei7 - RTX3050,55.02929,57.13308,32.87444
5,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],13th corei5 - GTX1080,61.53306,63.22163,22.92008
6,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],13th corei5 - RTX4070,47.68066,49.0687,212.58007
7,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],13th corei7 - RTX3060 Ti,57.628,57.05079,56.60963
8,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],13th corei5 - RTX3050,58.27071,58.05476,16.07717
9,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],1th Xeon Gold - GTX1080,53.51871,54.1059,36.35515
10,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],9th corei7 - RTX2080 Ti,55.80722,55.83218,15.93892
11,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],13th corei7 - RTX4070,50.72953,52.11491,172.82241
12,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],13th corei5 - RTX3060 Ti,58.14177,60.03292,107.61748
13,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],13th corei7 - GTX1080,61.54005,65.06134,27.48661
14,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],13th corei5 - GTX1650,55.99794,57.27417,45.33579
15,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],1th Xeon Gold - RTX4070,59.74246,61.1983,117.9878
16,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],13th corei7 - RTX3050,55.02929,57.13308,32.87444
17,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],13th corei5 - GTX1080,61.53306,63.22163,22.92008
18,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],13th corei5 - RTX4070,47.68066,49.0687,212.58007
19,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],13th corei7 - RTX3060 Ti,57.628,57.05079,56.60963
20,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],13th corei5 - RTX3050,58.27071,58.05476,16.07717
