,ML,loss,Parameter Num,Const Parameter,Variable Parameter Num,Variable Parameter,MAPE train (%),MAPE val (%),MAPE test (%),Leave One
0,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],58.14177,60.03292,107.61748,13th corei5 - RTX3060 Ti
1,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],61.54005,65.06134,27.48661,13th corei7 - GTX1080
2,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],55.99794,57.27417,45.33579,13th corei5 - GTX1650
3,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],59.74246,61.1983,117.9878,1th Xeon Gold - RTX4070
4,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],55.02929,57.13308,32.87444,13th corei7 - RTX3050
5,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],61.53306,63.22163,22.92008,13th corei5 - GTX1080
6,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],47.68066,49.0687,212.58007,13th corei5 - RTX4070
7,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],57.628,57.05079,56.60963,13th corei7 - RTX3060 Ti
8,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],58.27071,58.05476,16.07717,13th corei5 - RTX3050
9,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],53.51871,54.1059,36.35515,1th Xeon Gold - GTX1080
10,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],55.80722,55.83218,15.93892,9th corei7 - RTX2080 Ti
11,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_core'],50.72953,52.11491,172.82241,13th corei7 - RTX4070
12,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],58.14177,60.03292,107.61748,13th corei5 - RTX3060 Ti
13,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],61.54005,65.06134,27.48661,13th corei7 - GTX1080
14,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],55.99794,57.27417,45.33579,13th corei5 - GTX1650
15,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],59.74246,61.1983,117.9878,1th Xeon Gold - RTX4070
16,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],55.02929,57.13308,32.87444,13th corei7 - RTX3050
17,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],61.53306,63.22163,22.92008,13th corei5 - GTX1080
18,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],47.68066,49.0687,212.58007,13th corei5 - RTX4070
19,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],57.628,57.05079,56.60963,13th corei7 - RTX3060 Ti
20,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],58.27071,58.05476,16.07717,13th corei5 - RTX3050
21,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],53.51871,54.1059,36.35515,1th Xeon Gold - GTX1080
22,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],55.80722,55.83218,32.34335,9th corei7 - RTX2080 Ti
23,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_boost_clock(GHz)'],50.72953,52.11491,172.82241,13th corei7 - RTX4070
24,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],57.98727,59.85972,108.20799,13th corei5 - RTX3060 Ti
25,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],63.10446,66.22857,29.0101,13th corei7 - GTX1080
26,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],55.91649,57.2062,45.34685,13th corei5 - GTX1650
27,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],62.30601,63.61518,107.73393,1th Xeon Gold - RTX4070
28,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],55.01993,57.21041,32.95582,13th corei7 - RTX3050
29,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],61.52385,63.22107,22.91854,13th corei5 - GTX1080
30,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],50.15002,51.34318,216.29967,13th corei5 - RTX4070
31,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],57.68098,57.07859,56.61008,13th corei7 - RTX3060 Ti
32,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],58.26797,58.05924,16.07717,13th corei5 - RTX3050
33,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],57.21229,57.41558,29.3424,1th Xeon Gold - GTX1080
34,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],55.80722,55.83218,15.93892,9th corei7 - RTX2080 Ti
35,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_thread'],48.89856,50.40872,168.33301,13th corei7 - RTX4070
36,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],56.59926,58.81015,106.3199,13th corei5 - RTX3060 Ti
37,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],63.28164,66.45242,28.83801,13th corei7 - GTX1080
38,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],56.1426,57.4749,45.36018,13th corei5 - GTX1650
39,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],56.87682,58.8557,116.2683,1th Xeon Gold - RTX4070
40,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],60.76493,62.26623,31.69189,13th corei7 - RTX3050
41,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],61.6504,63.32215,22.9852,13th corei5 - GTX1080
42,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],46.48475,48.04211,210.84941,13th corei5 - RTX4070
43,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],57.56202,57.04731,56.75009,13th corei7 - RTX3060 Ti
44,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],58.24072,58.01348,16.01011,13th corei5 - RTX3050
45,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],53.75718,54.30951,33.7105,1th Xeon Gold - GTX1080
46,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],55.80722,55.83218,15.93892,9th corei7 - RTX2080 Ti
47,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['cpu_cache(MB)'],48.99922,50.5,168.40047,13th corei7 - RTX4070
48,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],27.63643,27.89666,77.65946,13th corei5 - RTX3060 Ti
49,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],36.64035,37.6548,29.10295,13th corei7 - GTX1080
50,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],26.03533,27.19243,48.60554,13th corei5 - GTX1650
51,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],36.59119,36.99928,25.27777,1th Xeon Gold - RTX4070
52,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],31.49748,32.91664,24.98538,13th corei7 - RTX3050
53,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],35.01903,36.77279,17.54658,13th corei5 - GTX1080
54,lgb,rmse,4,"['Total Frames', 'Directory Size (MB)', 'Params']",1,['gpu_architecture'],34.82672,36.68011,54.45869,13th corei5 - RTX4070
