,ML,loss,Input Num,Input,Leave One,MAPE train (%),MAPE val (%),MAPE test (%)
0,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - RTX3060 Ti,47.89388,50.57977,99.30223
1,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",13th corei7 - GTX1080,52.55371,56.64837,21.48857
2,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - GTX1650,47.64524,49.26439,48.41765
3,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",1th Xeon Gold - RTX4070,46.59487,48.69296,109.99832
4,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",13th corei7 - RTX3050,45.84152,48.5192,41.04654
5,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - GTX1080,50.42992,52.33329,16.45077
6,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - RTX4070,39.12858,40.46973,203.99007
7,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",13th corei7 - RTX3060 Ti,49.91403,48.71761,39.45079
8,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - RTX3050,49.77771,49.29981,16.00824
9,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",1th Xeon Gold - GTX1080,45.77043,46.07367,46.72514
10,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",9th corei7 - RTX2080 Ti,51.97625,51.21429,5.4887
11,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",13th corei7 - RTX4070,42.14196,43.00057,142.19387
12,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",13th corei5 - RTX3060 Ti,47.89388,50.57977,99.30223
13,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",13th corei7 - GTX1080,52.55371,56.64837,21.48857
14,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",13th corei5 - GTX1650,47.64524,49.26439,48.41765
15,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",1th Xeon Gold - RTX4070,46.59487,48.69296,109.99832
16,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",13th corei7 - RTX3050,45.84152,48.5192,41.04654
17,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",13th corei5 - GTX1080,50.42992,52.33329,16.45077
18,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",13th corei5 - RTX4070,39.12858,40.46973,203.99007
19,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",13th corei7 - RTX3060 Ti,49.91403,48.71761,39.45079
20,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",13th corei5 - RTX3050,49.77771,49.29981,16.00824
