,ML,loss,Input Num,Input,MAPE train(%),MAPE val(%),MAPE test(%),Leave One
0,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",47.89388,50.57977,99.30223,13th corei5 - RTX3060 Ti
1,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",52.55371,56.64837,21.48857,13th corei7 - GTX1080
2,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",47.64524,49.26439,48.41765,13th corei5 - GTX1650
3,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",46.59487,48.69296,109.99832,1th Xeon Gold - RTX4070
4,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",45.84152,48.5192,41.04654,13th corei7 - RTX3050
5,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",50.42992,52.33329,16.45077,13th corei5 - GTX1080
6,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",39.12858,40.46973,203.99007,13th corei5 - RTX4070
7,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",49.91403,48.71761,39.45079,13th corei7 - RTX3060 Ti
8,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",49.77771,49.29981,16.00824,13th corei5 - RTX3050
9,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",45.77043,46.07367,46.72514,1th Xeon Gold - GTX1080
10,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",51.97625,51.21429,5.4887,9th corei7 - RTX2080 Ti
11,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_boost_clock(GHz)']",42.14196,43.00057,142.19387,13th corei7 - RTX4070
12,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",47.89388,50.57977,99.30223,13th corei5 - RTX3060 Ti
13,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",52.55371,56.64837,21.48857,13th corei7 - GTX1080
14,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",47.64524,49.26439,48.41765,13th corei5 - GTX1650
15,lgb,l2(rmse),4,"['Total Frames', 'Params', 'cpu_core', 'cpu_thread']",46.59487,48.69296,109.99832,1th Xeon Gold - RTX4070
