,ML,loss,Parameter Num,Const Parameter,Variable Parameter Num,Variable Parameter,Leave One,MAPE train (%),MAPE val (%),MAPE test (%)
0,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - RTX3060 Ti,58.14177,60.03292,107.61748
1,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei7 - GTX1080,61.54005,65.06134,27.48661
2,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - GTX1650,55.99794,57.27417,45.33579
3,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",1th Xeon Gold - RTX4070,59.74246,61.1983,117.9878
4,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei7 - RTX3050,55.02929,57.13308,32.87444
5,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - GTX1080,61.53306,63.22163,22.92008
6,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - RTX4070,47.68066,49.0687,212.58007
7,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei7 - RTX3060 Ti,57.628,57.05079,56.60963
8,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei5 - RTX3050,58.27071,58.05476,16.07717
9,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",1th Xeon Gold - GTX1080,53.51871,54.1059,36.35515
10,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",9th corei7 - RTX2080 Ti,55.80722,55.83218,15.93892
11,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_boost_clock(GHz)']",13th corei7 - RTX4070,50.72953,52.11491,172.82241
12,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei5 - RTX3060 Ti,58.14177,60.03292,107.61748
13,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei7 - GTX1080,61.54005,65.06134,27.48661
14,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei5 - GTX1650,55.99794,57.27417,45.33579
15,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",1th Xeon Gold - RTX4070,59.74246,61.1983,117.9878
16,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei7 - RTX3050,55.02929,57.13308,32.87444
17,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei5 - GTX1080,61.53306,63.22163,22.92008
18,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei5 - RTX4070,47.68066,49.0687,212.58007
19,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei7 - RTX3060 Ti,57.628,57.05079,56.60963
20,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei5 - RTX3050,58.27071,58.05476,16.07717
21,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",1th Xeon Gold - GTX1080,53.51871,54.1059,36.35515
22,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",9th corei7 - RTX2080 Ti,55.80722,55.83218,15.93892
23,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_thread']",13th corei7 - RTX4070,50.72953,52.11491,172.82241
24,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei5 - RTX3060 Ti,56.59926,58.81015,106.3199
25,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei7 - GTX1080,63.28164,66.45242,28.83801
26,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei5 - GTX1650,57.8796,58.97477,44.88645
27,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",1th Xeon Gold - RTX4070,61.52569,63.05048,120.64456
28,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei7 - RTX3050,60.76493,62.26623,31.69189
29,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei5 - GTX1080,61.6504,63.32215,22.9852
30,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei5 - RTX4070,46.48475,48.04211,210.84941
31,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei7 - RTX3060 Ti,57.56202,57.04731,56.75009
32,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei5 - RTX3050,55.64862,55.63852,16.01689
33,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",1th Xeon Gold - GTX1080,53.51871,54.1059,36.35515
34,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",9th corei7 - RTX2080 Ti,55.80722,55.83218,15.93892
35,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'cpu_cache(MB)']",13th corei7 - RTX4070,48.99922,50.5,168.40047
36,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei5 - RTX3060 Ti,10.9806,10.85837,103.41418
37,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei7 - GTX1080,22.08553,22.96782,26.7751
38,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei5 - GTX1650,22.27769,23.41908,47.59055
39,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",1th Xeon Gold - RTX4070,17.6638,19.23726,21.8077
40,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei7 - RTX3050,12.57,14.90075,42.59975
41,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei5 - GTX1080,19.73362,21.83366,47.03034
42,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei5 - RTX4070,21.84098,23.94977,55.49745
43,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei7 - RTX3060 Ti,11.58333,14.0304,87.71195
44,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei5 - RTX3050,11.24168,12.49811,46.41067
45,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",1th Xeon Gold - GTX1080,23.91793,26.26689,22.4475
46,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",9th corei7 - RTX2080 Ti,22.47299,25.0259,106.24132
47,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_architecture']",13th corei7 - RTX4070,24.86779,27.64502,44.34764
48,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei5 - RTX3060 Ti,4.2282,6.25657,19.44897
49,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei7 - GTX1080,2.80019,4.6394,16.99403
50,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei5 - GTX1650,4.92861,5.7804,33.3022
51,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",1th Xeon Gold - RTX4070,4.05815,5.40642,24.0713
52,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei7 - RTX3050,2.92879,4.22571,13.83118
53,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei5 - GTX1080,3.04096,4.36584,14.0962
54,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei5 - RTX4070,4.19552,5.8162,24.88449
55,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei7 - RTX3060 Ti,4.02495,5.49017,10.12327
56,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei5 - RTX3050,3.18639,4.36275,13.88372
57,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",1th Xeon Gold - GTX1080,4.2739,5.68694,16.82268
58,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",9th corei7 - RTX2080 Ti,4.46293,5.77352,23.19134
59,lgb,l2(rmse),5,"['Total Frames', 'Directory Size (MB)', 'Params']",2,"['cpu_core', 'gpu_core']",13th corei7 - RTX4070,4.19956,5.38754,12.08833
