,ML,loss,Parameter Num,Const Parameter,Variable Parameter Num,Variable Parameter,SHAP Value,MAPE test (%),Leave One
0,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSCO', 'T_SLMO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 52.41754522107835, 'Sum Absolute SHAP Value': 15725.263566323505}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 1.991416266026109, 'Sum Absolute SHAP Value': 597.4248798078327}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 3.4367608307945146, 'Sum Absolute SHAP Value': 1031.0282492383544}]",14.23613,13th corei5 - RTX3060 Ti
1,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSCO', 'T_SLMO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 44.286961521789316, 'Sum Absolute SHAP Value': 13286.088456536794}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 0.92363734569413, 'Sum Absolute SHAP Value': 277.091203708239}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 1.1242675317796418, 'Sum Absolute SHAP Value': 337.28025953389255}]",15.9635,13th corei7 - GTX1080
2,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSCO', 'T_SLMO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 65.40221281864157, 'Sum Absolute SHAP Value': 19620.663845592473}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 0.33908343763457494, 'Sum Absolute SHAP Value': 101.72503129037248}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 0.8994075178047328, 'Sum Absolute SHAP Value': 269.82225534141986}]",33.09912,13th corei5 - GTX1650
3,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSCO', 'T_SLMO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 87.65821939531813, 'Sum Absolute SHAP Value': 26297.46581859544}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 0.34067107534199936, 'Sum Absolute SHAP Value': 102.20132260259982}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 2.8531225485915956, 'Sum Absolute SHAP Value': 855.9367645774787}]",27.77945,1th Xeon Gold - RTX4070
4,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSCO', 'T_SLMO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 58.27767306181692, 'Sum Absolute SHAP Value': 17483.301918545076}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 1.0474768405794486, 'Sum Absolute SHAP Value': 314.2430521738346}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 1.6542795471988225, 'Sum Absolute SHAP Value': 496.2838641596468}]",3.15086,13th corei7 - RTX3050
5,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSCO', 'T_SLMO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 46.44306824929116, 'Sum Absolute SHAP Value': 13932.920474787348}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 0.5692906279724292, 'Sum Absolute SHAP Value': 170.78718839172876}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 1.9047443132367818, 'Sum Absolute SHAP Value': 571.4232939710346}]",15.47252,13th corei5 - GTX1080
6,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSCO', 'T_SLMO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 87.14957522599352, 'Sum Absolute SHAP Value': 26144.872567798055}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 0.5495688874217629, 'Sum Absolute SHAP Value': 164.87066622652887}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 4.022606312723142, 'Sum Absolute SHAP Value': 1206.7818938169426}]",3.6097,13th corei5 - RTX4070
7,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSCO', 'T_SLMO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 52.209946308693105, 'Sum Absolute SHAP Value': 15662.983892607932}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 1.3115779537388688, 'Sum Absolute SHAP Value': 393.4733861216606}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 3.5843841354484653, 'Sum Absolute SHAP Value': 1075.3152406345396}]",10.19405,13th corei7 - RTX3060 Ti
8,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSCO', 'T_SLMO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 55.539769937077814, 'Sum Absolute SHAP Value': 16661.930981123343}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 1.036085688154539, 'Sum Absolute SHAP Value': 310.8257064463617}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 2.4590109743145345, 'Sum Absolute SHAP Value': 737.7032922943604}]",3.12037,13th corei5 - RTX3050
9,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSCO', 'T_SLMO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 37.174610531124856, 'Sum Absolute SHAP Value': 11152.383159337456}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 0.737797091485894, 'Sum Absolute SHAP Value': 221.3391274457682}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 1.3053843989066667, 'Sum Absolute SHAP Value': 391.615319672}]",12.54916,1th Xeon Gold - GTX1080
10,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSCO', 'T_SLMO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 53.18548298757832, 'Sum Absolute SHAP Value': 15955.644896273496}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 0.6675945753617831, 'Sum Absolute SHAP Value': 200.27837260853494}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 0.5789356891774343, 'Sum Absolute SHAP Value': 173.6807067532303}]",23.83564,9th corei7 - RTX2080 Ti
11,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSCO', 'T_SLMO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 86.17852416218675, 'Sum Absolute SHAP Value': 25853.557248656023}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 0.6151134979119103, 'Sum Absolute SHAP Value': 184.53404937357308}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 4.10086791270538, 'Sum Absolute SHAP Value': 1230.2603738116138}]",4.01469,13th corei7 - RTX4070
12,lgb,rmse,7,"['Total Frames', 'Directory Size (MB)', 'Params']",4,"['T_CSCO', 'T_SLMO', 'T_SLAO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 51.25685139226425, 'Sum Absolute SHAP Value': 15377.055417679276}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 2.7187250771260754, 'Sum Absolute SHAP Value': 815.6175231378226}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 3.1473048327761544, 'Sum Absolute SHAP Value': 944.1914498328463}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 0.39967986434446784, 'Sum Absolute SHAP Value': 119.90395930334034}]",14.06254,13th corei5 - RTX3060 Ti
13,lgb,rmse,7,"['Total Frames', 'Directory Size (MB)', 'Params']",4,"['T_CSCO', 'T_SLMO', 'T_SLAO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 43.546124620455316, 'Sum Absolute SHAP Value': 13063.837386136594}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 1.324111838411706, 'Sum Absolute SHAP Value': 397.23355152351184}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 0.8166681333801769, 'Sum Absolute SHAP Value': 245.00044001405305}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 0.6499922855318226, 'Sum Absolute SHAP Value': 194.9976856595468}]",15.36049,13th corei7 - GTX1080
14,lgb,rmse,7,"['Total Frames', 'Directory Size (MB)', 'Params']",4,"['T_CSCO', 'T_SLMO', 'T_SLAO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 64.94657143773647, 'Sum Absolute SHAP Value': 19483.97143132094}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 0.39634656814193436, 'Sum Absolute SHAP Value': 118.9039704425803}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 0.6758037945267953, 'Sum Absolute SHAP Value': 202.7411383580386}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 0.2611114666162925, 'Sum Absolute SHAP Value': 78.33343998488775}]",33.09027,13th corei5 - GTX1650
15,lgb,rmse,7,"['Total Frames', 'Directory Size (MB)', 'Params']",4,"['T_CSCO', 'T_SLMO', 'T_SLAO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 87.69896330008925, 'Sum Absolute SHAP Value': 26309.688990026774}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 0.3452622548004759, 'Sum Absolute SHAP Value': 103.57867644014277}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 2.793598458094709, 'Sum Absolute SHAP Value': 838.0795374284128}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 0.4629451620277315, 'Sum Absolute SHAP Value': 138.88354860831944}]",28.43495,1th Xeon Gold - RTX4070
16,lgb,rmse,7,"['Total Frames', 'Directory Size (MB)', 'Params']",4,"['T_CSCO', 'T_SLMO', 'T_SLAO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 57.79057127015589, 'Sum Absolute SHAP Value': 17337.171381046766}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 1.3821672922526682, 'Sum Absolute SHAP Value': 414.65018767580045}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 1.8088818105247844, 'Sum Absolute SHAP Value': 542.6645431574353}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 0.49287521536486384, 'Sum Absolute SHAP Value': 147.86256460945916}]",3.06922,13th corei7 - RTX3050
17,lgb,rmse,7,"['Total Frames', 'Directory Size (MB)', 'Params']",4,"['T_CSCO', 'T_SLMO', 'T_SLAO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 45.8015603740377, 'Sum Absolute SHAP Value': 13740.46811221131}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 0.821069669139597, 'Sum Absolute SHAP Value': 246.32090074187911}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 1.0188297869627583, 'Sum Absolute SHAP Value': 305.6489360888275}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 1.635479573532571, 'Sum Absolute SHAP Value': 490.64387205977124}]",16.02123,13th corei5 - GTX1080
18,lgb,rmse,7,"['Total Frames', 'Directory Size (MB)', 'Params']",4,"['T_CSCO', 'T_SLMO', 'T_SLAO', 'T_CSAO']","[{'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 86.9868883351273, 'Sum Absolute SHAP Value': 26096.066500538192}, {'Parameter': 'T_SLMO', 'Mean Absolute SHAP Value': 0.5124182656817875, 'Sum Absolute SHAP Value': 153.72547970453624}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 3.9458617489605876, 'Sum Absolute SHAP Value': 1183.7585246881763}, {'Parameter': 'T_CSAO', 'Mean Absolute SHAP Value': 0.48429273771817366, 'Sum Absolute SHAP Value': 145.2878213154521}]",3.47067,13th corei5 - RTX4070
