,ML,loss,Parameter Num,Const Parameter,Variable Parameter Num,Variable Parameter,SHAP Value,MAPE test (%),Leave One
0,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSMT', 'T_CSCO', 'T_SLAO']","[{'Parameter': 'T_CSMT', 'Mean Absolute SHAP Value': 8.707424145769908, 'Sum Absolute SHAP Value': 2612.2272437309725}, {'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 48.05231811148236, 'Sum Absolute SHAP Value': 14415.695433444707}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 0.271177492864451, 'Sum Absolute SHAP Value': 81.3532478593353}]",12.21384,13th corei5 - RTX3060 Ti
1,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSMT', 'T_CSCO', 'T_SLAO']","[{'Parameter': 'T_CSMT', 'Mean Absolute SHAP Value': 1.870139454939708, 'Sum Absolute SHAP Value': 561.0418364819124}, {'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 42.486597973957146, 'Sum Absolute SHAP Value': 12745.979392187144}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 0.6034029138386787, 'Sum Absolute SHAP Value': 181.0208741516036}]",12.6891,13th corei7 - GTX1080
2,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSMT', 'T_CSCO', 'T_SLAO']","[{'Parameter': 'T_CSMT', 'Mean Absolute SHAP Value': 2.790760599036282, 'Sum Absolute SHAP Value': 837.2281797108847}, {'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 63.7161662919924, 'Sum Absolute SHAP Value': 19114.84988759772}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 0.5187830173189509, 'Sum Absolute SHAP Value': 155.6349051956853}]",31.09088,13th corei5 - GTX1650
3,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSMT', 'T_CSCO', 'T_SLAO']","[{'Parameter': 'T_CSMT', 'Mean Absolute SHAP Value': 6.237219003783432, 'Sum Absolute SHAP Value': 1871.1657011350296}, {'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 77.79276363553271, 'Sum Absolute SHAP Value': 23337.829090659812}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 0.48219347543625046, 'Sum Absolute SHAP Value': 144.65804263087514}]",12.36161,1st Xeon Gold - RTX4070
4,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSMT', 'T_CSCO', 'T_SLAO']","[{'Parameter': 'T_CSMT', 'Mean Absolute SHAP Value': 2.18540622843274, 'Sum Absolute SHAP Value': 655.621868529822}, {'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 58.60496105913367, 'Sum Absolute SHAP Value': 17581.488317740103}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 1.196961755182539, 'Sum Absolute SHAP Value': 359.08852655476164}]",3.17703,13th corei7 - RTX3050
5,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSMT', 'T_CSCO', 'T_SLAO']","[{'Parameter': 'T_CSMT', 'Mean Absolute SHAP Value': 2.2905536505405255, 'Sum Absolute SHAP Value': 687.1660951621576}, {'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 43.02214260427574, 'Sum Absolute SHAP Value': 12906.642781282722}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 0.1374146473892688, 'Sum Absolute SHAP Value': 41.224394216780645}]",14.91618,13th corei5 - GTX1080
6,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSMT', 'T_CSCO', 'T_SLAO']","[{'Parameter': 'T_CSMT', 'Mean Absolute SHAP Value': 7.261471449009465, 'Sum Absolute SHAP Value': 2178.4414347028396}, {'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 75.84568975663714, 'Sum Absolute SHAP Value': 22753.706926991144}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 0.33615633228704067, 'Sum Absolute SHAP Value': 100.8468996861122}]",14.70741,13th corei5 - RTX4070
7,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSMT', 'T_CSCO', 'T_SLAO']","[{'Parameter': 'T_CSMT', 'Mean Absolute SHAP Value': 10.519404801304455, 'Sum Absolute SHAP Value': 3155.8214403913366}, {'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 47.20844696988744, 'Sum Absolute SHAP Value': 14162.534090966232}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 0.18588576196396583, 'Sum Absolute SHAP Value': 55.76572858918975}]",8.13882,13th corei7 - RTX3060 Ti
8,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSMT', 'T_CSCO', 'T_SLAO']","[{'Parameter': 'T_CSMT', 'Mean Absolute SHAP Value': 1.6381546087026917, 'Sum Absolute SHAP Value': 491.4463826108075}, {'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 54.2892261519063, 'Sum Absolute SHAP Value': 16286.76784557189}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 1.2412485499704424, 'Sum Absolute SHAP Value': 372.37456499113273}]",3.61051,13th corei5 - RTX3050
9,lgb,rmse,6,"['Total Frames', 'Directory Size (MB)', 'Params']",3,"['T_CSMT', 'T_CSCO', 'T_SLAO']","[{'Parameter': 'T_CSMT', 'Mean Absolute SHAP Value': 44.913880322369295, 'Sum Absolute SHAP Value': 13474.164096710789}, {'Parameter': 'T_CSCO', 'Mean Absolute SHAP Value': 65.5935301377839, 'Sum Absolute SHAP Value': 19678.05904133517}, {'Parameter': 'T_SLAO', 'Mean Absolute SHAP Value': 0.19366302549377915, 'Sum Absolute SHAP Value': 58.098907648133746}]",23.95108,1st Xeon Gold - GTX1080
