,ML,loss,Input Num,Input,MAPE train,MAPE val,MAPE test,Leave One,,average,min,max,
22,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",0.027664255,0.033561724,0.028937371,13th corei7 - RTX3050,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",0.233770544,0.028937371,0.487159416,1th Xeon Gold - RTX4070
37,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",0.024412908,0.032020027,0.098303934,13th corei7 - RTX3060 Ti,,,,,
2,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",0.026874333,0.033325241,0.124389115,13th corei5 - RTX3060 Ti,,,,,
42,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",0.027965549,0.034578321,0.127435429,13th corei5 - RTX3050,,,,,
27,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",0.02540923,0.032219842,0.130599,13th corei5 - GTX1080,,,,,
7,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",0.027354486,0.032091418,0.147859697,13th corei7 - GTX1080,,,,,
47,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",0.027247089,0.035001861,0.267466819,1th Xeon Gold - GTX1080,,,,,
57,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",0.025227008,0.030231194,0.313432992,13th corei7 - RTX4070,,,,,
12,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",0.028971714,0.033880016,0.317617516,13th corei5 - GTX1650,,,,,
32,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",0.024647997,0.032725285,0.334717493,13th corei5 - RTX4070,,,,,
52,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",0.026865749,0.033133578,0.427327752,9th corei7 - RTX2080 Ti,,,,,
17,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",0.024963571,0.030936338,0.487159416,1th Xeon Gold - RTX4070,,,,,
24,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",0.027696484,0.034070753,0.039891683,13th corei7 - RTX3050,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",0.205064706,0.039891683,0.423157214,9th corei7 - RTX2080 Ti
44,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",0.028468473,0.035185441,0.044731658,13th corei5 - RTX3050,,,,,
39,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",0.025208353,0.032363146,0.101269301,13th corei7 - RTX3060 Ti,,,,,
4,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",0.026825225,0.032940346,0.132272501,13th corei5 - RTX3060 Ti,,,,,
29,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",0.025939373,0.033954598,0.132566136,13th corei5 - GTX1080,,,,,
9,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",0.027314857,0.032245154,0.149936319,13th corei7 - GTX1080,,,,,
19,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",0.025010141,0.031350491,0.199002603,1th Xeon Gold - RTX4070,,,,,
34,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",0.024644713,0.033060295,0.273148204,13th corei5 - RTX4070,,,,,
49,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",0.02789268,0.03478476,0.277922768,1th Xeon Gold - GTX1080,,,,,
14,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",0.029336541,0.034380151,0.319399312,13th corei5 - GTX1650,,,,,
59,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",0.02526218,0.03095778,0.367478779,13th corei7 - RTX4070,,,,,
54,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",0.026865749,0.033133578,0.423157214,9th corei7 - RTX2080 Ti,,,,,
21,lgb,l2(rmse),6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",0.027851192,0.034702579,0.034546523,13th corei7 - RTX3050,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",0.163544279,0.034546523,0.313204131,13th corei5 - GTX1650
41,lgb,l2(rmse),6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",0.028063302,0.033680564,0.037360441,13th corei5 - RTX3050,,,,,
36,lgb,l2(rmse),6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",0.024598966,0.030678639,0.100187452,13th corei7 - RTX3060 Ti,,,,,
16,lgb,l2(rmse),6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",0.024577661,0.031382641,0.116180627,1th Xeon Gold - RTX4070,,,,,
1,lgb,l2(rmse),6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",0.027504142,0.032055348,0.125817227,13th corei5 - RTX3060 Ti,,,,,
6,lgb,l2(rmse),6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",0.027932773,0.032563404,0.148241344,13th corei7 - GTX1080,,,,,
26,lgb,l2(rmse),6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",0.024977244,0.031395373,0.15293495,13th corei5 - GTX1080,,,,,
31,lgb,l2(rmse),6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",0.024591322,0.033143027,0.164449949,13th corei5 - RTX4070,,,,,
56,lgb,l2(rmse),6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",0.025175484,0.030378853,0.195610512,13th corei7 - RTX4070,,,,,
51,lgb,l2(rmse),6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",0.026544334,0.031905462,0.283520409,9th corei7 - RTX2080 Ti,,,,,
46,lgb,l2(rmse),6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",0.027722782,0.03339988,0.290477786,1th Xeon Gold - GTX1080,,,,,
11,lgb,l2(rmse),6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",0.028422116,0.033794807,0.313204131,13th corei5 - GTX1650,,,,,
20,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",0.027851192,0.034702579,0.034546523,13th corei7 - RTX3050,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",0.174498215,0.034546523,0.421925011,1th Xeon Gold - GTX1080
40,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",0.028063302,0.033680564,0.037360441,13th corei5 - RTX3050,,,,,
35,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",0.024598966,0.030678639,0.100187452,13th corei7 - RTX3060 Ti,,,,,
15,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",0.024577661,0.031382641,0.116180627,1th Xeon Gold - RTX4070,,,,,
0,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",0.027504142,0.032055348,0.125817227,13th corei5 - RTX3060 Ti,,,,,
5,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",0.027932773,0.032563404,0.148241344,13th corei7 - GTX1080,,,,,
25,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",0.024977244,0.031395373,0.15293495,13th corei5 - GTX1080,,,,,
30,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",0.024591322,0.033143027,0.164449949,13th corei5 - RTX4070,,,,,
55,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",0.025175484,0.030378853,0.195610512,13th corei7 - RTX4070,,,,,
50,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",0.026544334,0.031905462,0.283520409,9th corei7 - RTX2080 Ti,,,,,
10,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",0.028422116,0.033794807,0.313204131,13th corei5 - GTX1650,,,,,
45,lgb,l2(rmse),5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",0.027722782,0.03339988,0.421925011,1th Xeon Gold - GTX1080,,,,,
