,ML,loss,Input Num,Input,weight,MAPE train,MAPE test,MAPE val
36,lgb,l2,5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",1,0.017531447,0.054701252,0.05509711
156,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",1,0.017531447,0.054701252,0.05509711
27,lgb,l2,5,"['Total Frames', 'Params', 'transfer_all', 'matrix_add', 'matrix_addloop']",1,0.020593442,0.054961084,0.058011589
146,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dotloop']",1,0.020890909,0.055135998,0.054757664
48,lgb,l2,5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",1,0.023889167,0.05547152,0.054063691
33,lgb,l2,5,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_addloop']",1,0.023122671,0.055963525,0.056695339
89,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_addloop']",1,0.020905388,0.056156959,0.061431557
119,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'transfer_roundtrip', 'matrix_add', 'matrix_addloop']",1,0.021051878,0.056266164,0.062412764
175,lgb,l2,6,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot']",1,0.020126273,0.056352237,0.057281133
104,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_add', 'matrix_addloop']",1,0.022375286,0.056488558,0.062781755
288,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_dotloop', 'matrix_addloop']",1,0.017874123,0.057085085,0.059678615
396,lgb,l2,8,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop', 'matrix_addloop']",1,0.017874123,0.057085085,0.059678615
95,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_convloop', 'matrix_dot']",1,0.019902276,0.057533337,0.063077634
159,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_dot', 'matrix_dotloop']",1,0.02256801,0.057743304,0.060318849
300,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop']",1,0.02256801,0.057743304,0.060318849
40,lgb,l2,5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_convloop', 'matrix_dotloop']",1,0.020930879,0.057743606,0.056255501
92,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_conv', 'matrix_dotloop']",1,0.022662565,0.058043422,0.060132528
226,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",1,0.022662565,0.058043422,0.060132528
228,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_addloop']",1,0.019237396,0.058224479,0.059494639
134,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'matrix_convloop', 'matrix_dotloop', 'matrix_addloop']",1,0.018936706,0.058263976,0.061146578
74,lgb,l2,5,"['Total Frames', 'Params', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop']",1,0.022811938,0.058350783,0.063404784
422,lgb,l2,9,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_addloop']",1,0.018584431,0.058425696,0.062609392
212,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_dotloop']",1,0.018938727,0.058464844,0.059669842
337,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",1,0.018938727,0.058464844,0.059669842
43,lgb,l2,5,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_dot', 'matrix_dotloop']",1,0.022895804,0.058680638,0.060258802
165,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop']",1,0.022895804,0.058680638,0.060258802
6,lgb,l2,5,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_addloop']",1,0.022113032,0.058778716,0.060307647
64,lgb,l2,5,"['Total Frames', 'Params', 'matrix_conv', 'matrix_convloop', 'matrix_dot']",1,0.022975692,0.058842185,0.065045481
229,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_conv', 'matrix_dot', 'matrix_dotloop']",1,0.022752756,0.058852447,0.06303479
356,lgb,l2,8,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop']",1,0.022752756,0.058852447,0.06303479
124,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'matrix_conv', 'matrix_dot', 'matrix_dotloop']",1,0.020496154,0.058970785,0.06227694
265,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'matrix_conv', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop']",1,0.020496154,0.058970785,0.06227694
31,lgb,l2,5,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_dotloop']",1,0.024896178,0.058977008,0.060643033
